,name,Date,Number
0,Atomic Bomb Museum,2009-01-01,26185
1,Atomic Bomb Museum,2010-01-01,25778
2,Atomic Bomb Museum,2011-01-01,28871
3,Atomic Bomb Museum,2012-01-01,26707
4,Atomic Bomb Museum,2013-01-01,27475
5,Atomic Bomb Museum,2014-01-01,28835
6,Atomic Bomb Museum,2015-01-01,30778
7,Atomic Bomb Museum,2016-01-01,29732
8,Atomic Bomb Museum,2017-01-01,32454
9,Atomic Bomb Museum,2018-01-01,31593
10,Atomic Bomb Museum,2019-01-01,35301
11,Atomic Bomb Museum,2020-01-01,32848
12,Atomic Bomb Museum,2021-01-01,4249
13,Atomic Bomb Museum,2022-01-01,14342
14,Atomic Bomb Museum,2023-01-01,28572
15,Atomic Bomb Museum,2009-02-01,29576
16,Atomic Bomb Museum,2010-02-01,38232
17,Atomic Bomb Museum,2011-02-01,36262
18,Atomic Bomb Museum,2012-02-01,27994
19,Atomic Bomb Museum,2013-02-01,30857
20,Atomic Bomb Museum,2014-02-01,33243
21,Atomic Bomb Museum,2015-02-01,34111
22,Atomic Bomb Museum,2016-02-01,37683
23,Atomic Bomb Museum,2017-02-01,36607
24,Atomic Bomb Museum,2018-02-01,34861
25,Atomic Bomb Museum,2019-02-01,37307
26,Atomic Bomb Museum,2020-02-01,29734
27,Atomic Bomb Museum,2021-02-01,4795
28,Atomic Bomb Museum,2022-02-01,2602
29,Atomic Bomb Museum,2023-02-01,34054
30,Atomic Bomb Museum,2009-03-01,45102
31,Atomic Bomb Museum,2010-03-01,48192
32,Atomic Bomb Museum,2011-03-01,34871
33,Atomic Bomb Museum,2012-03-01,45016
34,Atomic Bomb Museum,2013-03-01,41857
35,Atomic Bomb Museum,2014-03-01,44552
36,Atomic Bomb Museum,2015-03-01,45941
37,Atomic Bomb Museum,2016-03-01,49176
38,Atomic Bomb Museum,2017-03-01,52670
39,Atomic Bomb Museum,2018-03-01,49242
40,Atomic Bomb Museum,2019-03-01,47818
41,Atomic Bomb Museum,2020-03-01,12719
42,Atomic Bomb Museum,2021-03-01,19792
43,Atomic Bomb Museum,2022-03-01,25427
44,Atomic Bomb Museum,2023-03-01,49025
45,Atomic Bomb Museum,2009-04-01,42330
46,Atomic Bomb Museum,2010-04-01,43950
47,Atomic Bomb Museum,2011-04-01,33624
48,Atomic Bomb Museum,2012-04-01,44896
49,Atomic Bomb Museum,2013-04-01,44508
50,Atomic Bomb Museum,2014-04-01,43052
51,Atomic Bomb Museum,2015-04-01,50523
52,Atomic Bomb Museum,2016-04-01,38390
53,Atomic Bomb Museum,2017-04-01,44588
54,Atomic Bomb Museum,2018-04-01,48051
55,Atomic Bomb Museum,2019-04-01,51854
56,Atomic Bomb Museum,2020-04-01,1106
57,Atomic Bomb Museum,2021-04-01,13835
58,Atomic Bomb Museum,2022-04-01,29371
59,Atomic Bomb Museum,2023-04-01,48915
60,Atomic Bomb Museum,2009-05-01,97419
61,Atomic Bomb Museum,2010-05-01,101153
62,Atomic Bomb Museum,2011-05-01,101178
63,Atomic Bomb Museum,2012-05-01,96088
64,Atomic Bomb Museum,2013-05-01,101614
65,Atomic Bomb Museum,2014-05-01,96153
